ulp_stage_preparation_id,RUP,e-Proc,Manual,Kode RUP,Metode Pemilihan,Kriteria Barang/Jasa,Lembar catatan Pengecekan HPS  (Tgl),Lembar catatan Pengecekan HPS  (PIC),Koreksi Aritmatika HPS (Tgl),Koreksi Aritmatika HPS (PIC),Lembar Persiapan Tgl,Lembar Persiapan PIC Buat,Lembar Persiapan PIC Ka. Pokja,Pengumuman Pemilihan by LPSE (Nomor Lembar Pengumuman),Pengumuman Pemilihan by LPSE (Tgl),Pengumuman Pemilihan by LPSE (PIC),Dokumen Pemilihan / SPPH Dokumen Pengadaan / SPPH(No. Dok),Dokumen Pemilihan / SPPH Dokumen Pengadaan / SPPH(Tgl),Dokumen Pemilihan / SPPH Dokumen Pengadaan / SPPH(PIC),Registrasi Draft Paket PBJ by SPSE (Buat Paket) Tgl,Registrasi Draft Paket PBJ by SPSE (Buat Paket) PIC,Undangan Reviu DPP(No. Dok),Undangan Reviu DPP(Tgl),Undangan Reviu DPP(PIC),Lembar Daftar Hadir Acara Reviu DPP (Tgl),Lembar Daftar Hadir Acara Reviu DPP (PIC),BA Reviu DPP (No. Dok),BA Reviu DPP (Tgl),BA Reviu DPP (PIC),Undangan Pemberian Penjelasan(No. Dok),Undangan Pemberian Penjelasan(Tgl),Undangan Pemberian Penjelasan(PIC),Lembar Daftar Hadir Pemberian Penjelasan(Tgl),Lembar Daftar Hadir Pemberian Penjelasan(PIC),BA Pemberian Penjelasan(No. Dok),BA Pemberian Penjelasan(Tgl),BA Pemberian Penjelasan(PIC),Dekripsi Data Penawaran(Tgl),Dekripsi Data Penawaran(PIC),BA Pembukaan Dokumen Penawaran(No. Dok),BA Pembukaan Dokumen Penawaran(Tgl),BA Pembukaan Dokumen Penawaran(PIC),Lembar Koreksi Aritmatika Penawaran Harga(Tgl),Lembar Koreksi Aritmatika Penawaran Harga(PIC ),Kertas Kerja Evaluasi Penawaran (Tgl),Kertas Kerja Evaluasi Penawaran (PIC),BA Evaluasi Penawaran (No. Dok),BA Evaluasi Penawaran (Tgl),BA Evaluasi Penawaran (PIC ),Undangan Verifikasi & Pembuktian Kualifikasi(No. Dok),Undangan Verifikasi & Pembuktian Kualifikasi(Tgl),Undangan Verifikasi & Pembuktian Kualifikasi(PIC ),Lembar Daftar Hadir Verifikasi & Pembuktian Kualifikasi(Tgl),Lembar Daftar Hadir Verifikasi & Pembuktian Kualifikasi(PIC ),Lembar Nego Teknis dan Harga (Jika Ada)(Tgl),Lembar Nego Teknis dan Harga (Jika Ada)(PIC ),BA Klarifikasi dan Negosiasi Harga(No. Dok),BA Klarifikasi dan Negosiasi Harga(Tgl),BA Klarifikasi dan Negosiasi Harga(PIC ),BA Hasil Pemilihan (No. Dok),BA Hasil Pemilihan (Tgl),BA Hasil Pemilihan (PIC ),Penetapan Pemenang Pemilihan  (No. Dok),Penetapan Pemenang Pemilihan  (Tgl),Penetapan Pemenang Pemilihan  (PIC ),Pengumuman Pemenang Pemilihan  (No. Dok),Pengumuman Pemenang Pemilihan  (Tgl),Pengumuman Pemenang Pemilihan  (PIC ),Sanggahan(No. Dok),Sanggahan(Tgl Sanggah),Sanggahan(Nama Peserta),Jawaban Sanggah (Jika Ada) (No. Dok),Jawaban Sanggah (Jika Ada) (Tgl Dok),Jawaban Sanggah (Jika Ada) (PIC),Surat Usulan Kaji Ulang Paket (No. Dok),Surat Usulan Kaji Ulang Paket (Tgl),Surat Usulan Kaji Ulang Paket (PIC),Laporan Hasil Pemilihan (No. Dok),Laporan Hasil Pemilihan (Tgl),Laporan Hasil Pemilihan (PIC ),Nilai Realisasi,Dokumen SPB/SPK/Kontrak(PIC ),Dokumen SPB/SPK/Kontrak(Nomor),Dokumen SPB/SPK/Kontrak(Tanggal),Nilai Kontrak(Rp.) (BLU),Nilai Kontrak(Rp.) (Non BLU),Jangka Waktu Pekerjaan,Jangka Waktu Pekerjaan Satuan,Nama Penyedia Barang/Jasa,Nama Pimpinan Perusahaan,Contact Person,Alamat Perusahaan,KBLI Penyedia
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,1,,Penunjukan Langsung,Barang,,,,,,,,,,,BJ.02.01/D.XII.10/12359/2025,11-Dec-25,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/12511/2025,22-Dec-25,I,,,,19-Dec-25,Y,19-Dec-25,Y,,,,BJ.01.03/D.XII.10/12512/2025,22-Dec-25,I,BJ.01.03/D.XII.10/12513/2025,22-Dec-25,I,,,,,,,,,,,,,BJ.01.03/D.XII.10/12514/2025,22-Dec-25,I,"Rp543,000,000",,,,543.000.000,,365,Hr Kalender,PT. Sadikun Niagamas Raya,,,"Jl. Pinangsia Timur No. 4A, Kel. Pinangsia, Kec. Taman Sari, Kota Adm. Jakarta Barat, Prop. DKI Jakarta",
13,1,1,,62058187,E-Purchasing,Barang,,,,,,,,,,,,12-Jan-26,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.01/D.XII.10/974/2026,26-Jan-26,Y,"Rp6,723,147,455",,,,6.723.147.455,,365,Hr Kalender,CV. HARAPAN INDAH,,,"Ruko Green Garden Blok A 14 Nomor 36 RT 005 / RW 003, Kel. Kedoya Utara, Kebon Jeruk, Jakarta Barat",
14,1,1,,62058422,E-Purchasing,Barang,,,,,,,,,,,,17-Dec-25,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.04/D.XII.10/12491/2025,19-Dec-25,I,"Rp641,999,997",,,,641.999.997,,365,Hr Kalender,CUBIESPOT PILAR DATA NUSANTARA,,,"Perum Tiara Candi 2 Blok AA 20, Kelurahan Sekargadung, Kecamatan Purworejo, Kota Pasuruan",
15,1,1,,62058949,E-Purchasing,Barang,,,,,,,,,,,,18-Dec-25,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.04/D.XII.10/12510/2025,22-Dec-25,I,"Rp819,180,000",,,,819.180.000,,365,Hr Kalender,DEFENDER NUSA SEMESTA,,,"Graha BIP 7th floor, Jl. Jend. Gatot Subroto Kav. 23, RT.2/RW.2, Karet Semanggi, Setiabudi, Jakarta",
16,1,1,,62058942,E-Purchasing,Barang,,,,,,,,,,,,17-Dec-25,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.04/D.XII.10/12490/2025,19-Dec-25,I,"Rp559,440,000",,,,559.440.000,,365,Hr Kalender,EBCONNECTION INDONESIA,,," Graha Sentana Jl Buncit Raya No. 2, Jakarta Selatan",
17,1,1,,62200323,E-Purchasing,Barang,,,,,,,,,,,,23-Dec-25,Ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.04/D.XII.10/12601/2025,29-Dec-25,Ar,Rp1.089.354.444,,,,1.089.354.444,,14,Hr Kalender,INFINITRADE TECHNOLOGY INDONESIA,,,"Menara 165 LT. 14 Unit E JL. TB Simatupang No. K Cilandak Timur Pasar Minggu, Jakarta Selatan 12560",
18,,,1,,Pengadaan Langsung,Pekerjaan Konstruksi,,,,,,,,,,,BJ.01.03/D.XII.10/12441/2025,16-Dec-25,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/12476/2025,18-Dec-25,I,,,,18-Dec-25,Y,18-Dec-25,Y,,,,BJ.01.03/D.XII.10/12477/2025,18-Dec-25,I,BJ.01.03/D.XII.10/12478/2025,18-Dec-25,I,,,,,,,,,,,,,BJ.01.03/D.XII.10/12479/2025,18-Dec-25,I,"Rp83,250,000",,,,83.250.000,,14,Hr Kalender,PT. Kawan Abadi Selaras,,,Green Lake City Rukan CBD Blok H No. 20 Cipondoh – Tangerang 15146,
19,1,1,,63242571,E-Pengadaan Langsung,Barang,,,,,,,,,,,BJ.01.03/D.XII.10/684/2026,15-Jan-26,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/820/2026,21-Jan-26,I,,,,20-Jan-26,I,20-Jan-26,I,,,,BJ.01.03/D.XII.10/821/2026,21-Jan-26,I,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/835/2026,22-Jan-26,I,"Rp164,280,000",,,,164.280.000,,35,Hr Kalender,"  PT. Sinar Amartapura
Persada  ",,,Jl Binalontar No 32A Jaticempaka Pondok Gede Kota Bekasi,
20,1,1,,62591507,E-Purchasing,Barang,,,,,,,,,,,,31-Dec-25,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.04/D.XII.10/29/2025,2-Jan-26,I,"Rp244,500,000",,,,244.500.000,,365,Hr Kalender,SINERGI DIGITAL TEKNOLOGI,,,"Kebayoran Square Business Park C 03, Jl. Boulevard Bintaro Jaya",
